mobility	selfcare	activity	pain	anxiety	EQ5Dindex
1	5	4	4	1	0.212
1	5	4	4	2	0.187
1	5	4	4	3	0.180
1	5	4	4	4	0.142
1	5	4	4	5	0.102
1	5	4	5	1	0.130
1	5	4	5	2	0.104
1	5	4	5	3	0.098
1	5	4	5	4	0.059
1	5	4	5	5	0.020
1	5	5	1	1	0.299
1	5	5	1	2	0.274
1	5	5	1	3	0.267
1	5	5	1	4	0.229
1	5	5	1	5	0.189
1	5	5	2	1	0.241
1	5	5	2	2	0.216
1	5	5	2	3	0.209
1	5	5	2	4	0.171
1	5	5	2	5	0.131
1	5	5	3	1	0.227
1	5	5	3	2	0.202
1	5	5	3	3	0.195
1	5	5	3	4	0.157
1	5	5	3	5	0.117
1	5	5	4	1	0.172
1	5	5	4	2	0.147
1	5	5	4	3	0.140
1	5	5	4	4	0.102
1	5	5	4	5	0.062
1	5	5	5	1	0.090
1	5	5	5	2	0.065
1	5	5	5	3	0.058
1	5	5	5	4	0.020
1	5	5	5	5	-0.020
2	1	1	1	1	0.734
2	1	1	1	2	0.680
2	1	1	1	3	0.666
2	1	1	1	4	0.560
2	1	1	1	5	0.449
2	1	1	2	1	0.648
2	1	1	2	2	0.617
2	1	1	2	3	0.609
2	1	1	2	4	0.502
2	1	1	2	5	0.392
2	1	1	3	1	0.626
2	1	1	3	2	0.601
2	1	1	3	3	0.594
2	1	1	3	4	0.488
2	1	1	3	5	0.377
2	1	1	4	1	0.516
2	1	1	4	2	0.491
2	1	1	4	3	0.484
2	1	1	4	4	0.405
2	1	1	4	5	0.323
2	1	1	5	1	0.350
2	1	1	5	2	0.325
2	1	1	5	3	0.318
2	1	1	5	4	0.280
2	1	1	5	5	0.240
2	1	2	1	1	0.658
2	1	2	1	2	0.627
2	1	2	1	3	0.619
2	1	2	1	4	0.513
2	1	2	1	5	0.402
2	1	2	2	1	0.595
2	1	2	2	2	0.568
2	1	2	2	3	0.561
2	1	2	2	4	0.455
2	1	2	2	5	0.344
2	1	2	3	1	0.579
2	1	2	3	2	0.554
2	1	2	3	3	0.547
2	1	2	3	4	0.441
2	1	2	3	5	0.330
2	1	2	4	1	0.469
2	1	2	4	2	0.443
2	1	2	4	3	0.437
2	1	2	4	4	0.358
2	1	2	4	5	0.275
2	1	2	5	1	0.303
2	1	2	5	2	0.278
2	1	2	5	3	0.271
2	1	2	5	4	0.233
2	1	2	5	5	0.193
2	1	3	1	1	0.639
2	1	3	1	2	0.614
2	1	3	1	3	0.607
2	1	3	1	4	0.501
2	1	3	1	5	0.390
2	1	3	2	1	0.582
2	1	3	2	2	0.556
2	1	3	2	3	0.550
2	1	3	2	4	0.443
2	1	3	2	5	0.333
2	1	3	3	1	0.567
2	1	3	3	2	0.542
2	1	3	3	3	0.535
2	1	3	3	4	0.429
2	1	3	3	5	0.318
2	1	3	4	1	0.457
2	1	3	4	2	0.432
2	1	3	4	3	0.425
2	1	3	4	4	0.346
2	1	3	4	5	0.264
2	1	3	5	1	0.291
2	1	3	5	2	0.266
2	1	3	5	3	0.259
2	1	3	5	4	0.221
2	1	3	5	5	0.181
2	1	4	1	1	0.574
2	1	4	1	2	0.549
